FRP,RNA_conc,tube_number,Sample_Day,infection_status,maturity,treatment_tank,temperature_treatment
6134,0,465,26,1,I,7,ambient
6134,1.71,77,9,1,I,7,ambient
6159,0,508,26,1,I,9,ambient
6159,2,313,12,1,I,9,ambient
6130,1.8,498,26,0,I,8,ambient
6142,0,65,9,0,I,7,ambient
6165,5.16,469,26,0,I,7,ambient
6165,1.16,55,9,0,I,7,ambient
6215,3.58,457,26,1,I,3,cold
6103,5.04,46,9,1,I,1,cold
6198,2.75,428,26,1,I,2,cold
6198,1.32,154,9,1,I,2,cold
6144,1.84,477,26,1,I,7,ambient
6135,1.08,492,26,1,I,8,ambient
6134,2.68,353,12,1,I,7,ambient
6144,5.76,348,12,1,I,7,ambient
6135,2.01,327,12,1,I,8,ambient
6144,4.92,14,9,1,I,7,ambient
6135,3.52,4,9,1,I,8,ambient
6145,0,505,26,1,I,9,ambient
6155,0,476,26,1,I,7,ambient
6155,3.71,358,12,1,I,7,ambient
6145,2.44,305,12,1,I,9,ambient
6155,0,66,9,1,I,7,ambient
6145,2.34,59,9,1,I,9,ambient
6159,1.38,26,9,1,I,9,ambient
6142,0,474,26,0,I,7,ambient
6131,0.88,507,26,0,I,9,ambient
6142,1.8,346,12,0,I,7,ambient
6131,1.42,314,12,0,I,9,ambient
6130,0.88,339,12,0,I,8,ambient
6131,0,38,9,0,I,9,ambient
6130,7.32,47,9,0,I,8,ambient
6165,5.16,469,26,0,I,7,ambient
6146,2.18,502,26,0,I,9,ambient
6166,5.56,349,12,0,I,8,ambient
6165,1.55,360,12,0,I,7,ambient
6146,4,309,12,0,I,9,ambient
6166,1.72,21,9,0,I,8,ambient
6146,0,12,9,0,I,9,ambient
6132,2.81,88,9,0,I,1,cold
6133,4.16,36,9,0,I,2,cold
6133,3.9,434,26,0,I,2,cold
6132,0,406,26,0,I,1,cold
6119,0,461,26,0,I,3,cold
6133,8.24,223,12,0,I,2,cold
6132,1.64,205,12,0,I,1,cold
6119,3.86,258,12,0,I,3,cold
6119,2.02,153,9,0,I,3,cold
6129,3.09,86,9,1,I,5,warm
6210,0,120,9,1,I,4,warm
6180,1.46,402,26,0,I,6,warm
6129,2.64,403,26,1,I,5,warm
6210,2.18,401,26,1,I,4,warm
6180,1.8,370,12,0,I,6,warm
6129,0,299,12,1,I,5,warm
6210,2.44,274,12,1,I,4,warm
6180,2.51,149,9,0,I,6,warm
6103,8.04,409,26,1,I,1,cold
6103,6.68,215,12,1,I,1,cold
6215,0.84,253,12,1,I,3,cold
6215,1.16,23,9,1,I,3,cold
6209,8.24,444,26,1,I,3,cold
6209,4.8,251,12,1,I,3,cold
6209,5.88,125,9,1,I,3,cold
6198,6.2,230,12,1,I,2,cold
6208,0.92,435,26,1,I,2,cold
6208,2.12,229,12,1,I,2,cold
6208,3.1,106,9,1,I,2,cold
6207,5,412,26,1,I,1,cold
6207,4.68,202,12,1,I,1,cold
6207,5.32,128,9,1,I,1,cold
6138,6.44,247,12,0,I,3,cold
6138,2.66,80,9,0,I,3,cold
6117,1.77,440,26,0,I,2,cold
6117,1.76,225,12,0,I,2,cold
6117,0,42,9,0,I,2,cold
6113,5.64,419,26,0,I,1,cold
6113,3.55,214,12,0,I,1,cold
6113,2.19,78,9,0,I,1,cold
6138,6.16,453,26,0,I,3,cold
6166,5.88,496,26,0,I,8,ambient
6186,1.62,510,26,0,I,9,ambient
6185,3.51,487,26,0,I,8,ambient
6181,5.28,470,26,0,I,7,ambient
6186,3.03,306,12,0,I,9,ambient
6185,2.62,336,12,0,I,8,ambient
6181,3.32,355,12,0,I,7,ambient
6186,3.41,171,9,0,I,9,ambient
6185,4.4,145,9,0,I,8,ambient
6181,1.64,175,9,0,I,7,ambient
6167,7.52,414,26,0,I,1,cold
6154,5.04,436,26,0,I,2,cold
6147,3.64,421,26,0,I,1,cold
6167,1.88,207,12,0,I,1,cold
6154,2.38,232,12,0,I,2,cold
6147,3.6,204,12,0,I,1,cold
6167,5.4,45,9,0,I,1,cold
6154,2.1,68,9,0,I,2,cold
6147,0,30,9,0,I,1,cold
6193,5.12,482,26,1,I,8,ambient
6192,2.83,463,26,1,I,7,ambient
6184,1.44,513,26,1,I,9,ambient
6193,6.08,333,12,1,I,8,ambient
6192,5.68,359,12,1,I,7,ambient
6184,2.84,318,12,1,I,9,ambient
6193,3.36,174,9,1,I,8,ambient
6192,26,178,9,1,I,7,ambient
6184,5.08,148,9,1,I,9,ambient
6127,4.36,497,26,0,I,8,ambient
6214,15.5,504,26,1,I,9,ambient
6127,3.46,335,12,0,I,8,ambient
6214,2.05,311,12,1,I,9,ambient
6171,5.28,73,9,0,I,2,cold
6214,2.59,107,9,1,I,9,ambient
6236,6.52,361,12,0,I,6,warm
6236,7.6,157,9,0,I,6,warm
6229,3.94,379,12,0,I,6,warm
6229,4.96,89,9,0,I,6,warm
6226,8.28,260,12,0,I,4,warm
6226,10.8,85,9,0,I,4,warm
6216,4.88,267,12,0,I,4,warm
6216,1.75,40,9,0,I,4,warm
6220,8.52,293,12,1,I,5,warm
6220,2.88,162,9,1,I,5,warm
6219,4.2,276,12,1,I,4,warm
6219,4.2,116,9,1,I,4,warm
6247,5.52,287,12,0,I,5,warm
6247,2.46,152,9,0,I,5,warm
6246,7.24,265,12,0,I,4,warm
6246,7.2,3,9,0,I,4,warm
6227,2.41,366,12,1,I,6,warm
6227,3.44,83,9,1,I,6,warm
6225,2.1,298,12,1,I,5,warm
6225,6.56,92,9,1,I,5,warm
6224,9.32,277,12,1,I,4,warm
6224,4.6,74,9,1,I,4,warm
6221,3.03,380,12,1,I,6,warm
6221,10.2,16,9,1,I,6,warm